Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
183,1.83,0.02732,0.02207,0.03211,0.05,0.0789,0.11947
188,1.88,0.02774,0.02434,0.03512,0.05371,0.08368,0.12537
194,1.94,0.0304,0.02715,0.03862,0.0584,0.09006,0.13313
200,2,0.0492,0.0288,0.0406,0.06094,0.09324,0.13747
206,2.06,0.0361,0.02923,0.04101,0.06133,0.09384,0.13799
212,2.12,0.02935,0.0282,0.03993,0.06016,0.09205,0.13571
218,2.18,0.02579,0.02737,0.03877,0.0584,0.08982,0.13267
224,2.24,0.03375,0.02673,0.03786,0.05703,0.08772,0.12957
231,2.31,0.05911,0.0256,0.03643,0.05508,0.08472,0.12578
238,2.38,0.10427,0.02431,0.03475,0.05273,0.08153,0.12094
245,2.45,0.08256,0.02332,0.03312,0.05059,0.07861,0.11651
252,2.52,0.05084,0.02288,0.03255,0.04922,0.07649,0.11365
260,2.6,0.04462,0.02224,0.03165,0.04785,0.07436,0.11077
268,2.68,0.04694,0.0217,0.03087,0.04668,0.07254,0.10752
276,2.76,0.07263,0.02106,0.02978,0.04531,0.07024,0.10428
284,2.84,0.0653685,0.019986,0.0283858,0.0433594,0.0673831,0.100624
293,2.93,0.04452,0.01945,0.02762,0.04219,0.06573,0.09799
302,3.02,0.03406,0.01882,0.0269,0.04082,0.0636,0.09528
311,3.11,0.03084,0.01785,0.02548,0.03906,0.06117,0.09133
320,3.2,0.0365,0.01708,0.02465,0.0377,0.05903,0.08813
330,3.3,0.02921,0.01628,0.02335,0.03594,0.05657,0.08498
340,3.4,0.03163,0.01584,0.02271,0.03496,0.05489,0.08261
350,3.5,0.02852,0.01522,0.02197,0.03359,0.05288,0.07944
361,3.61,0.04178,0.01405,0.02033,0.03154,0.05003,0.07548
372,3.72,0.04018,0.01307,0.01911,0.02988,0.04775,0.07234
384,3.84,0.02636,0.01256,0.01836,0.02871,0.04588,0.0695
396,3.96,0.02021,0.01229,0.01787,0.02783,0.04447,0.06738
408,4.08,0.01626,0.01205,0.01744,0.02705,0.04322,0.06549
421,4.21,0.01509,0.01128,0.01649,0.02578,0.0412,0.0627
434,4.34,0.02987,0.01053,0.01556,0.02451,0.03936,0.05997
448,4.48,0.03406,0.01015,0.015,0.02363,0.03814,0.05816
462,4.62,0.02134,0.00986,0.01456,0.02295,0.03685,0.05615
477,4.77,0.01949,0.0094,0.01379,0.02188,0.0353,0.05408
492,4.92,0.01591,0.00878,0.0131,0.0208,0.0339,0.05202
508,5.08,0.01552,0.00869,0.01274,0.02021,0.03278,0.05049
524,5.24,0.01325,0.00843,0.01246,0.01963,0.03183,0.04903
541,5.41,0.0112,0.00809,0.01201,0.01899,0.03081,0.04744
559,5.59,0.01209,0.0077,0.0115,0.01826,0.02962,0.04561
577,5.77,0.01681,0.00748,0.01103,0.01758,0.02865,0.04434
596,5.96,0.02021,0.00691,0.01035,0.0167,0.02735,0.04254
